Loan_ID,Loan Category Code,ActualFirstDisbursementDate,ApprovalDate,FirstInstalmentDate,MaturityDate,LoanAmount,BillingFrequency,LoanInterestrate,NumberOfDependency,OtherLoansBalance,MaritalStatus,Gender,BirthDate,Target
08I9CTD,0,2019-04-30,2019-04-30,2019-05-30,2020-04-30,5390.31,Monthly,71.21,2.0,2,Un-Married,Male, Sep 1963,0
08P0P9S,0,2019-02-27,2019-02-27,2019-03-31,2020-02-29,3595.64,Monthly,71.21,1.0,4,Married,Female, Aug 1981,1
08PTML4,1,2019-06-24,2019-06-28,2019-07-30,2020-06-30,5386.81,Monthly,82.17,3.0,1,Un-Married,Male, Sep 1962,0
08STEMT,0,2019-04-26,2019-04-30,2019-05-30,2021-04-30,7187.25,Monthly,71.21,3.0,1,Married,Female, Sep 1975,0
08Y1TLZ,0,2019-05-22,2019-05-29,2019-06-30,2020-05-30,8984.02,Monthly,71.21,2.0,2,Un-Married,Male, Dec 1969,0
093O4AL,0,2019-03-20,2019-03-20,2019-04-30,2021-03-30,9882.32,Monthly,71.21,3.0,0,Married,Male, Nov 1972,0
09FH99M,1,2019-09-27,2019-10-21,2019-10-30,2020-09-30,38592.17,Monthly,82.17,3.0,0,Un-Married,Male, Dec 1984,0
09I9TW9,0,2018-12-28,2018-12-28,2019-01-30,2020-12-30,44039.11,Monthly,71.21,3.0,0,Un-Married,Male, Jul 1976,0
09KV5MT,0,2018-11-15,2018-11-26,2018-12-30,2019-01-30,3523.09,Monthly,71.21,3.0,0,Married,Female, Sep 1973,0
09NCC8D,0,2019-05-03,2019-05-20,2019-05-30,2020-04-30,6288.78,Monthly,71.21,3.0,8,Un-Married,Female, Aug 1984,1
09OX2RP,1,2019-10-24,2019-10-28,2019-11-30,2020-10-30,7718.47,Monthly,147.91,1.0,5,Married,Female, Oct 1974,0
09PRJNC,1,2019-07-15,2019-07-29,2019-08-30,2020-07-30,13507.32,Monthly,82.17,3.0,1,Married,Female, Apr 1961,0
09XPUKG,1,2020-03-05,2020-03-11,2020-03-30,2020-12-30,46742.04,Monthly,147.91,3.0,1,Married,Female, Nov 1977,0
0A56Q14,1,2019-09-26,2019-09-30,2019-10-30,2020-06-30,9648.09,Monthly,82.17,,0,Un-Married,Male, Jun 1966,0
0A7K6WV,0,2019-04-04,2019-04-15,2019-04-30,2021-03-30,13476.03,Monthly,71.21,3.0,3,Un-Married,Female, Mar 1974,0
0A9Y26N,0,2019-04-24,2019-04-30,2019-05-30,2019-09-30,3593.54,Monthly,71.21,2.0,1,Un-Married,Female, Oct 1959,1
0ABC698,0,2019-01-31,2019-01-31,2019-02-28,2021-01-31,17615.64,Monthly,71.21,3.0,1,Un-Married,Female, Nov 1992,0
0ABILWV,0,2018-11-15,2018-11-26,2018-12-30,2020-11-30,6165.55,Monthly,71.21,3.0,0,Un-Married,Male, Nov 1986,0
0ADCWJ8,3,2019-08-27,2019-08-27,2019-09-30,2020-08-30,11577.7,Monthly,82.17,,0,Un-Married,Male, Mar 1984,0
0AJ1VPK,3,2020-01-08,2020-01-30,2020-02-28,2021-01-28,135311.11,Monthly,147.91,3.0,0,Un-Married,Male, Apr 1966,0
0AUAB9C,0,2019-01-29,2019-01-31,2019-02-28,2019-11-30,5284.73,Monthly,71.21,3.0,1,Un-Married,Male, Jul 1973,1
0AUNGHB,0,2018-11-27,2018-11-30,2018-12-30,2020-11-30,14092.55,Monthly,71.21,3.0,0,Un-Married,Male, Jul 1966,0
0AVAX7L,0,2019-03-20,2019-03-20,2019-04-30,2020-11-30,26951.89,Monthly,71.21,3.0,0,Married,Male, Feb 1985,0
0AYHL11,0,2019-02-28,2019-03-31,2019-03-30,2020-02-29,6292.28,Monthly,71.21,3.0,0,Un-Married,Female, Feb 1982,1
0B289S6,0,2019-05-31,2019-05-31,2019-06-30,2019-10-30,5390.31,Monthly,71.21,3.0,1,Un-Married,Male, Jan 1987,0
0BKQ2YK,0,2019-05-02,2019-05-29,2019-05-30,2021-04-30,19764.81,Monthly,71.21,3.0,1,Married,Female, Nov 1984,0
0BMVNZ9,0,2018-10-11,2018-10-19,2018-11-30,2019-10-30,10569.46,Monthly,71.21,3.0,1,Married,Male, Aug 1982,0
0C111Q2,1,2019-08-27,2019-08-27,2019-09-30,2020-08-30,11577.7,Monthly,82.17,,0,Un-Married,Female, Jan 1972,1
0C3KQLO,0,2018-10-16,2018-10-19,2018-11-30,2020-10-30,21138.74,Monthly,71.21,2.0,0,Un-Married,Male, Sep 1965,0
0C7UHW2,0,2019-01-24,2019-01-31,2019-02-28,2021-01-31,7046.19,Monthly,71.21,1.0,1,Un-Married,Female, Mar 1985,0
0C9ZAVH,1,2019-10-23,2019-10-28,2019-11-30,2020-10-30,17366.55,Monthly,147.91,2.0,3,Un-Married,Male, Jun 1964,1
0CAP3OW,1,2020-02-26,2020-02-27,2020-03-30,2021-02-28,58126.59,Monthly,147.91,3.0,4,Married,Male, Feb 1967,0
0CJXX54,0,2018-11-27,2018-11-30,2018-12-30,2019-11-30,5284.73,Monthly,71.21,3.0,1,Married,Female, Aug 1970,0
0CKCHT4,0,2018-12-14,2018-12-28,2019-01-30,2019-12-30,13211.73,Monthly,71.21,3.0,3,Un-Married,Male, Dec 1982,1
0CLTCLU,0,2018-12-17,2018-12-19,2019-01-30,2019-03-30,5284.73,Monthly,71.21,3.0,0,Married,Female, Oct 1991,0
0CO28Q5,0,2019-03-18,2019-03-20,2019-04-30,2020-03-30,5390.31,Monthly,71.21,3.0,3,Married,Female, Jun 1972,0
0D3BJOT,0,2019-01-31,2019-01-31,2019-02-28,2020-01-31,7927.01,Monthly,71.21,2.0,0,Un-Married,Female, Oct 1967,1
0DOPBTC,1,2020-06-16,2020-06-23,2020-07-30,2020-10-30,19534.42,Monthly,251.99,3.0,1,Un-Married,Male, Oct 1973,0
0E0P3WB,1,2019-08-10,2019-08-10,2019-09-30,2020-08-30,7718.47,Monthly,82.17,,0,Un-Married,Male, Jun 1969,0
0EAV2A0,5,2019-09-29,2019-08-27,2019-09-27,2020-02-27,437000.0,Monthly,82.17,,0,Un-Married,Male, May 1982,1
0ECDJH8,0,2019-04-25,2019-04-30,2019-05-30,2020-05-30,8984.02,Monthly,71.21,3.0,2,Married,Male, Jan 1963,0
0EDFAMK,0,2019-05-07,2019-05-20,2019-05-30,2021-04-30,67379.81,Monthly,71.21,3.0,8,Married,Female, May 1983,0
0ENYXJ7,0,2018-11-15,2018-11-26,2018-12-30,2020-11-30,18496.46,Monthly,71.21,1.0,5,Married,Male, Dec 1971,0
0EOHLRP,1,2019-07-31,2019-07-31,2019-08-30,2020-07-30,3859.23,Monthly,82.17,3.0,1,Married,Male, Mar 1984,0
0EVXZ8G,3,2019-08-07,2019-08-07,2019-09-30,2020-08-30,38592.17,Monthly,82.17,,0,Un-Married,Female, Jun 1986,1
0F6IQGP,0,2018-10-02,2018-10-19,2018-10-31,2019-09-30,6165.55,Monthly,71.21,1.0,4,Un-Married,Female, Mar 1967,1
0FAT1OY,1,2020-03-13,2020-03-19,2020-04-30,2020-09-30,27445.87,Monthly,147.91,3.0,4,Married,Male, Feb 1965,0
0FB46VL,0,2019-04-17,2019-04-30,2019-05-30,2021-04-30,7187.25,Monthly,71.21,3.0,0,Un-Married,Female, Mar 1983,0
0FNIMUU,3,2019-09-23,2019-09-23,2019-10-30,2020-09-30,19296.17,Monthly,82.17,,0,Un-Married,Male, Jan 1991,1
0FO0482,1,2020-01-05,2020-01-24,2020-01-30,2020-12-30,35164.34,Monthly,147.91,1.0,4,Un-Married,Female, Aug 1980,0
0FOMA2X,1,2019-09-25,2019-09-30,2019-10-30,2020-09-30,19296.17,Monthly,82.17,,0,Un-Married,Male, Sep 1967,1
0FQO270,0,2019-04-29,2019-04-30,2019-05-30,2021-04-30,53903.78,Monthly,71.21,3.0,0,Married,Female, Mar 1986,0
0FSKD51,0,2018-11-16,2018-11-21,2018-12-30,2020-11-30,19377.28,Monthly,71.21,3.0,2,Married,Male, Feb 1968,0
0G2AA51,1,2019-11-26,2019-11-30,2019-12-30,2020-11-30,21225.79,Monthly,147.91,3.0,0,Married,Male, Aug 1983,0
0G9IYPB,1,2019-09-29,2019-08-28,2019-09-30,2020-08-30,19296.17,Monthly,82.17,,0,Un-Married,Male, Jan 1977,1
0GC2T4G,0,2019-02-26,2019-02-27,2019-03-31,2021-02-28,17978.01,Monthly,71.21,3.0,1,Un-Married,Male, Jan 1971,0
0GCXQ22,3,2019-10-17,2019-10-28,2019-11-30,2020-10-30,67536.43,Monthly,147.91,2.0,0,Un-Married,Male, Jul 1985,1
0GG7250,0,2018-12-31,2018-12-31,2019-01-30,2020-12-30,17615.64,Monthly,71.21,1.0,6,Un-Married,Female, Nov 1970,1
0GGR098,1,2020-02-28,2020-02-28,2020-03-30,2021-02-28,19534.42,Monthly,147.91,2.0,1,Un-Married,Female, Jan 1970,0
0GIP6TL,0,2018-11-27,2018-11-30,2018-12-30,2020-11-30,8807.82,Monthly,71.21,3.0,6,Married,Female, Jul 1984,0
0GPHAK1,1,2020-03-10,2020-03-24,2020-04-30,2021-03-30,27252.89,Monthly,147.91,3.0,0,Un-Married,Male, Aug 1977,0
0H382UL,1,2020-03-13,2020-03-19,2020-04-30,2021-03-30,17797.79,Monthly,147.91,3.0,1,Un-Married,Female, Aug 1970,0
0HDWN4D,0,2019-03-01,2019-03-19,2019-03-30,2020-02-29,26966.92,Monthly,71.21,3.0,0,Un-Married,Male, May 1983,1
0HIMY9Q,5,2019-09-13,2019-09-17,2019-10-13,2020-03-13,227240.0,Monthly,82.17,3.0,1,Married,Male, Jul 1963,0
0HPPMP0,1,2019-10-31,2019-10-31,2019-11-30,2020-10-30,5788.85,Monthly,147.91,3.0,6,Married,Female, Oct 1979,0
0HYUCJJ,5,2019-10-03,2019-10-14,2019-11-03,2020-04-03,87400.0,Monthly,82.17,3.0,1,Un-Married,Female, Apr 1987,1
0I23Q8Q,1,2019-06-20,2019-06-28,2019-07-30,2020-06-30,6576.33,Monthly,82.17,2.0,1,Un-Married,Male, Feb 1965,1
0IJ1OLP,0,2019-05-27,2019-05-29,2019-06-30,2020-05-30,12588.92,Monthly,71.21,3.0,0,Married,Male, Dec 1961,1
0IMGOSX,1,2020-02-28,2020-02-28,2020-03-30,2021-02-28,34971.36,Monthly,147.91,3.0,2,Un-Married,Male, Jan 1978,0
0INOFIO,1,2019-06-27,2019-06-28,2019-07-30,2020-06-30,7187.25,Monthly,82.17,2.0,1,Un-Married,Male, May 1971,0
0J22ORT,0,2019-04-26,2019-04-30,2019-05-30,2020-04-30,12577.56,Monthly,71.21,2.0,1,Un-Married,Male, Dec 1982,1
0JB2QUS,0,2019-01-14,2019-01-24,2019-02-28,2020-01-31,11450.1,Monthly,71.21,3.0,2,Un-Married,Female, Feb 1982,0
0JG7021,0,2018-12-19,2018-12-28,2019-01-30,2019-12-30,7046.19,Monthly,71.21,3.0,1,Un-Married,Male, Mar 1976,0
0JGO2KR,0,2019-04-29,2019-04-30,2019-05-30,2021-04-30,17967.87,Monthly,71.21,3.0,5,Un-Married,Female, Jun 1970,0
0JMU3H6,0,2019-01-29,2019-01-31,2019-02-28,2021-01-31,7927.01,Monthly,71.21,3.0,0,Married,Female, Apr 1985,0
0JQ5JON,1,2019-07-31,2019-07-31,2019-08-30,2020-07-30,19296.17,Monthly,82.17,3.0,0,Un-Married,Female, Oct 1982,1
0JQNJ3D,0,2018-10-02,2018-10-19,2018-10-30,2020-09-30,22019.56,Monthly,71.21,3.0,3,Married,Male, May 1963,0
0JUJ8YG,5,2019-07-15,2019-07-29,2019-08-15,2020-01-15,87400.0,Monthly,82.17,2.0,0,Un-Married,Male, Oct 1989,0
0K3ZXT8,0,2019-02-01,2019-02-14,2019-02-28,2020-01-31,7927.01,Monthly,71.21,3.0,0,Un-Married,Female, Aug 1987,1
0K4XAIM,5,2019-09-05,2019-09-05,2019-10-05,2020-03-05,40204.0,Monthly,82.17,,0,Un-Married,Male, Dec 1969,0
0K64KAI,0,2019-02-28,2019-03-19,2019-03-30,2020-08-30,10786.73,Monthly,71.21,2.0,10,Married,Male, Feb 1979,0
0K7EXAH,1,2020-02-28,2020-02-28,2020-03-30,2020-05-30,19534.42,Monthly,147.91,3.0,1,Married,Male, Jan 1973,0
0K7XE57,0,2019-05-28,2019-05-31,2019-06-30,2019-08-30,7187.25,Monthly,71.21,3.0,0,Married,Female, Jan 1993,0
0KGJUAK,0,2019-05-22,2019-05-29,2019-06-30,2020-05-30,12577.56,Monthly,71.21,1.0,1,Married,Male, Jan 1984,1
0KPKM1R,0,2018-10-02,2018-10-19,2018-10-30,2020-09-30,8807.82,Monthly,71.21,3.0,0,Un-Married,Female, Sep 1978,0
0KW73F1,0,2019-03-20,2019-03-20,2019-04-30,2021-03-30,8984.02,Monthly,71.21,3.0,0,Un-Married,Female, Mar 1962,0
0KZG4ZZ,0,2019-04-26,2019-04-30,2019-05-30,2020-04-30,26951.89,Monthly,71.21,3.0,1,Married,Male, Jul 1969,1
0L2JYBY,0,2018-10-16,2018-10-19,2018-11-30,2020-10-30,26423.47,Monthly,71.21,3.0,0,Un-Married,Female, Nov 1967,0
0L2LV1Z,0,2018-10-02,2018-10-19,2018-10-30,2020-09-30,7046.19,Monthly,71.21,3.0,0,Un-Married,Male, Sep 1984,0
0L8HU7A,0,2018-11-30,2018-11-30,2018-12-30,2020-11-30,5284.73,Monthly,71.21,1.0,0,Un-Married,Male, Jun 1984,0
0L9TGW1,0,2019-04-25,2019-04-30,2019-05-30,2019-12-30,7187.25,Monthly,71.21,2.0,3,Un-Married,Male, Jan 1965,0
0LBR5H7,0,2019-05-20,2019-05-29,2019-06-30,2020-05-30,7187.25,Monthly,71.21,3.0,4,Married,Female, Oct 1962,1
0LEA1AF,1,2019-11-20,2019-11-27,2019-12-30,2020-11-30,28944.08,Monthly,147.91,3.0,1,Un-Married,Female, Mar 1984,0
0LG244V,1,2020-06-24,2020-06-25,2020-07-30,2020-10-30,19534.42,Monthly,251.99,,0,Un-Married,Male, Jan 1979,0
0LN8IZR,1,2019-06-19,2019-06-28,2019-07-30,2020-06-30,17068.52,Monthly,82.17,3.0,1,Un-Married,Male, Jul 1974,0
0LTW6MX,1,2020-02-25,2020-02-28,2020-03-30,2020-05-30,50408.3,Monthly,147.91,3.0,3,Un-Married,Female, Oct 1987,1
0LUSFQ6,0,2019-06-01,2019-06-17,2019-06-30,2020-05-30,17967.87,Monthly,71.21,3.0,0,Un-Married,Male, Jan 1978,1
0LXLL0S,0,2018-11-27,2018-11-30,2018-12-30,2019-11-30,17615.64,Monthly,71.21,3.0,1,Married,Female, Oct 1977,0
0LZ39B2,2,2020-01-16,2020-01-24,2020-02-29,2021-01-31,96718.94,Monthly,147.91,3.0,2,Married,Male, Jan 1974,0
0MFF2WP,0,2019-04-25,2019-04-30,2019-05-30,2020-04-30,14374.33,Monthly,71.21,2.0,0,Un-Married,Female, Nov 1966,1
0MZF00A,0,2019-04-26,2019-04-30,2019-05-30,2021-04-30,12332.84,Monthly,71.21,3.0,4,Married,Female, Feb 1975,0
0N5Z8QL,0,2019-03-21,2019-03-29,2019-04-30,2019-12-30,44919.93,Monthly,71.21,3.0,0,Married,Male, Aug 1983,1
0N9AREN,0,2018-11-15,2018-11-26,2018-12-30,2020-11-30,23781.19,Monthly,71.21,3.0,2,Married,Male, Jan 1972,0
0NBVQJ4,1,2019-10-24,2019-10-28,2019-11-30,2020-10-30,27014.47,Monthly,147.91,3.0,0,Married,Male, Apr 1991,0
0NCW1CA,0,2018-11-26,2018-11-30,2018-12-30,2020-11-30,5284.73,Monthly,71.21,3.0,1,Un-Married,Male, Aug 1973,0
0NFNHBP,3,2020-09-17,2020-09-17,2020-10-30,2021-01-30,197521.73,Monthly,251.99,2.0,1,Un-Married,Female, Jan 1982,0
0NWYSSZ,1,2019-06-24,2019-06-28,2019-07-30,2020-06-30,19764.81,Monthly,82.17,3.0,0,Un-Married,Male, Feb 1973,0
0NYO3M7,0,2019-01-14,2019-01-24,2019-02-28,2021-01-31,11450.1,Monthly,71.21,3.0,0,Un-Married,Female, Feb 1984,0
0O5SV2M,0,2019-03-14,2019-03-20,2019-04-30,2020-03-30,12577.56,Monthly,71.21,3.0,0,Un-Married,Female, Apr 1987,1
0O9DVUZ,0,2018-11-27,2018-11-30,2018-12-30,2020-11-30,6165.55,Monthly,71.21,3.0,3,Married,Male, Aug 1976,0
0OX9RDL,0,2019-02-25,2019-02-28,2019-03-30,2021-02-28,17978.01,Monthly,71.21,2.0,5,Un-Married,Male, Jul 1970,1
0P0FKLF,0,2019-02-18,2019-02-28,2019-03-30,2021-02-28,8090.09,Monthly,71.21,3.0,0,Un-Married,Male, Apr 1990,0
0P7E7U8,1,2019-06-28,2019-06-28,2019-07-30,2020-06-30,8085.55,Monthly,82.17,3.0,7,Married,Female, Mar 1967,0
0P7EWQ4,0,2018-10-18,2018-10-19,2018-11-30,2020-10-30,29946.56,Monthly,71.21,3.0,2,Married,Female, Aug 1978,0
0PDZ8VZ,1,2019-09-17,2019-09-17,2019-10-30,2020-09-30,21225.79,Monthly,82.17,,0,Un-Married,Male, Oct 1979,0
0PI4KNU,0,2018-11-22,2018-11-26,2018-12-30,2019-11-30,8807.82,Monthly,71.21,3.0,3,Married,Male, Mar 1985,1
0PIKF5J,0,2019-02-14,2019-02-27,2019-03-30,2021-02-28,6292.28,Monthly,71.21,3.0,1,Married,Female, Sep 1960,0
0PSRMRL,2,2020-01-22,2020-01-30,2020-02-28,2021-01-28,116014.93,Monthly,147.91,3.0,3,Married,Male, Oct 1984,1
0PUMI12,5,2019-09-29,2019-08-28,2019-09-28,2020-02-28,87400.0,Monthly,82.17,,0,Un-Married,Male, May 1972,0
0Q0EWHO,0,2018-12-31,2018-12-31,2019-01-30,2019-12-30,5460.93,Monthly,71.21,3.0,1,Un-Married,Male, Dec 1978,0
0Q4OFWC,0,2019-06-01,2019-06-17,2019-06-30,2020-05-30,14374.33,Monthly,71.21,3.0,0,Un-Married,Female, Jan 1974,1
0QA1UAQ,0,2018-12-19,2018-12-28,2019-01-30,2019-12-30,17615.64,Monthly,71.21,3.0,5,Married,Male, Aug 1984,0
0QFKR3O,4,2019-09-18,2019-09-18,2019-10-30,2020-06-30,57888.34,Monthly,82.17,,0,Un-Married,Male, Jun 1977,0
0QM7MMG,0,2018-12-24,2018-12-28,2019-01-30,2019-12-30,35231.29,Monthly,71.21,3.0,0,Un-Married,Female, Dec 1978,1
0QNEU9B,0,2018-11-02,2018-11-12,2018-11-30,2020-10-30,7046.19,Monthly,71.21,3.0,0,Un-Married,Male, Jul 1984,1
0QWNNK8,0,2019-02-28,2019-10-31,2019-03-28,2020-10-28,7191.27,Monthly,71.21,3.0,0,Un-Married,Male, Oct 1984,0
0R115AB,1,2020-02-25,2020-02-28,2020-03-30,2021-02-28,60056.21,Monthly,147.91,2.0,6,Un-Married,Male, Apr 1966,0
0R2PWSD,0,2019-01-14,2019-01-24,2019-02-28,2021-01-31,8807.82,Monthly,71.21,3.0,3,Un-Married,Male, Feb 1974,0
0R5MSCH,3,2019-09-09,2019-09-09,2019-10-30,2020-09-30,44381.02,Monthly,82.17,,0,Un-Married,Male, Jan 1971,1
0RDHR96,4,2019-09-05,2019-09-05,2019-10-30,2020-09-30,30873.7,Monthly,82.17,,0,Un-Married,Male, Dec 1984,1
0RHEYDK,1,2020-03-05,2020-03-11,2020-03-30,2021-02-28,96911.92,Monthly,147.91,3.0,5,Married,Female, Apr 1975,0
0RRV6EE,3,2019-07-18,2019-07-29,2019-08-30,2020-07-30,10612.81,Monthly,82.17,2.0,1,Un-Married,Male, Aug 1964,0
0RRZ8KZ,1,2020-01-16,2020-01-30,2020-02-28,2021-01-28,29182.51,Monthly,147.91,3.0,1,Un-Married,Male, Jan 1983,0
0RVSDBK,1,2020-02-28,2020-02-28,2020-03-30,2020-07-30,15675.19,Monthly,147.91,3.0,3,Un-Married,Female, Oct 1986,1
0RZ7V3F,0,2019-03-29,2019-03-29,2019-04-30,2021-03-30,35935.91,Monthly,71.21,3.0,3,Married,Male, Apr 1960,0
0S0ERLA,1,2019-08-29,2019-08-29,2019-09-30,2020-03-30,11577.7,Monthly,82.17,,0,Un-Married,Male, Apr 1977,0
0S6KAOZ,0,2019-04-24,2019-04-30,2019-05-30,2021-04-30,12577.56,Monthly,71.21,2.0,4,Un-Married,Male, Mar 1980,0
0SD72GF,1,2019-11-01,2019-11-02,2019-11-30,2020-10-30,13507.32,Monthly,147.91,2.0,1,Un-Married,Female, Apr 1954,0
0SNNXIN,1,2019-12-31,2019-12-31,2020-01-30,2020-12-30,19733.17,Monthly,147.91,3.0,3,Married,Female, Sep 1984,0
0SUJ7H0,0,2019-04-15,2019-04-15,2019-05-30,2021-04-30,8984.02,Monthly,71.21,3.0,2,Un-Married,Male, Dec 1973,0
0SUR2U6,0,2019-04-16,2019-04-30,2019-05-30,2019-10-30,14374.33,Monthly,71.21,3.0,0,Un-Married,Female, May 1981,1
0T560FU,1,2020-01-27,2020-01-30,2020-02-29,2021-01-31,29375.49,Monthly,147.91,2.0,2,Married,Male, Sep 1988,0
0TIP8WL,1,2019-10-30,2019-10-31,2019-11-30,2020-10-30,32804.19,Monthly,147.91,3.0,0,Married,Female, Nov 1980,0
